,gene,Symbol,description
29608,ENSMUSG00000012123,Crybg2,crystallin beta-gamma domain containing 2
29609,ENSMUSG00000050890,Pdik1l,PDLIM1 interacting kinase 1 like
29610,ENSMUSG00000028836,Slc30a2,"solute carrier family 30 (zinc transporter), member 2"
29611,ENSMUSG00000037306,Man1c1,"mannosidase, alpha, class 1C, member 1"
29612,ENSMUSG00000043924,Ncmap,noncompact myelin associated protein
29613,ENSMUSG00000037188,Grhl3,grainyhead like transcription factor 3
29614,ENSMUSG00000037157,Il22ra1,"interleukin 22 receptor, alpha 1"
29615,ENSMUSG00000036995,Asap3,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"
29616,ENSMUSG00000060862,Zbtb40,zinc finger and BTB domain containing 40
29617,ENSMUSG00000057530,Ece1,endothelin converting enzyme 1
29618,ENSMUSG00000028760,Eif4g3,"eukaryotic translation initiation factor 4 gamma, 3"
29619,ENSMUSG00000045349,Sh2d5,SH2 domain containing 5
29620,ENSMUSG00000078517,Emc1,ER membrane protein complex subunit 1
29621,ENSMUSG00000040972,Igsf21,"immunoglobulin superfamily, member 21"
29622,ENSMUSG00000040860,Crocc,"ciliary rootlet coiled-coil, rootletin"
29623,ENSMUSG00000078507,Aadacl3,arylacetamide deacetylase like 3
29624,ENSMUSG00000078505,Aadacl4fm4,AADACL4 family member 4
29625,ENSMUSG00000020220,Vps13d,vacuolar protein sorting 13D
29626,ENSMUSG00000041616,Nppa,natriuretic peptide type A
29627,ENSMUSG00000029001,Fbxo44,F-box protein 44
29628,ENSMUSG00000041556,Fbxo2,F-box protein 2
29629,ENSMUSG00000041459,Tardbp,TAR DNA binding protein
29630,ENSMUSG00000070577,Gm572,predicted gene 572
29631,ENSMUSG00000044700,Tmem201,transmembrane protein 201
29632,ENSMUSG00000039768,Dnajc11,DnaJ heat shock protein family (Hsp40) member C11
29633,ENSMUSG00000047777,Phf13,PHD finger protein 13
29634,ENSMUSG00000039546,Ajap1,adherens junction associated protein 1
29635,ENSMUSG00000039523,Cep104,centrosomal protein 104
29636,ENSMUSG00000057751,Megf6,multiple EGF-like-domains 6
29637,ENSMUSG00000029032,Arhgef16,Rho guanine nucleotide exchange factor (GEF) 16
29638,ENSMUSG00000042333,Tnfrsf14,"tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)"
29639,ENSMUSG00000074738,Fndc10,fibronectin type III domain containing 10
29640,ENSMUSG00000059939,9430015G10Rik,RIKEN cDNA 9430015G10 gene
29641,ENSMUSG00000078485,Plekhn1,"pleckstrin homology domain containing, family N member 1"
29642,ENSMUSG00000078485,Klhl17,kelch-like 17
29643,ENSMUSG00000096351,Samd11,sterile alpha motif domain containing 11
29644,ENSMUSG00000056004,9330182L06Rik,RIKEN cDNA 9330182L06 gene
29645,ENSMUSG00000048439,Nupl2,nucleoporin like 2
29646,ENSMUSG00000067724,Gbx1,gastrulation brain homeobox 1
29647,ENSMUSG00000038199,Iqca1l,IQ motif containing with AAA domain 1 like
29648,ENSMUSG00000038072,Galnt11,polypeptide N-acetylgalactosaminyltransferase 11
29649,ENSMUSG00000038056,Kmt2c,lysine (K)-specific methyltransferase 2C
29651,ENSMUSG00000045294,Insig1,insulin induced gene 1
29652,ENSMUSG00000059447,Hadhb,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta
29653,ENSMUSG00000029165,Agbl5,ATP/GTP binding protein-like 5
29654,ENSMUSG00000053856,Dnajc5g,DnaJ heat shock protein family (Hsp40) member C5 gamma
29655,ENSMUSG00000059434,Gckr,glucokinase regulatory protein
29656,ENSMUSG00000079555,Haus3,"HAUS augmin-like complex, subunit 3"
29657,ENSMUSG00000037224,Zfyve28,"zinc finger, FYVE domain containing 28"
29658,ENSMUSG00000037210,Fam193a,"family with sequence homology 193, member A"
29659,ENSMUSG00000059866,Tnip2,TNFAIP3 interacting protein 2
29660,ENSMUSG00000044716,Dok7,docking protein 7
29661,ENSMUSG00000036553,Sh3tc1,SH3 domain and tetratricopeptide repeats 1
29662,ENSMUSG00000029095,Ablim2,actin-binding LIM protein 2
29663,ENSMUSG00000029196,Tada2b,transcriptional adaptor 2B
29664,ENSMUSG00000062329,Cytl1,cytokine-like 1
29665,ENSMUSG00000057116,AF366264,cDNA sequence AF366264
29666,ENSMUSG00000039782,Cpeb2,cytoplasmic polyadenylation element binding protein 2
29667,ENSMUSG00000039765,Cc2d2a,coiled-coil and C2 domain containing 2A
29668,ENSMUSG00000046985,Tapt1,transmembrane anterior posterior transformation 1
29669,ENSMUSG00000029189,Sel1l3,sel-1 suppressor of lin-12-like 3 (C. elegans)
29670,ENSMUSG00000029205,Chrna9,"cholinergic receptor, nicotinic, alpha polypeptide 9"
29671,ENSMUSG00000054598,9130230L23Rik,RIKEN cDNA 9130230L23 gene
29672,ENSMUSG00000029208,Guf1,"GUF1 homolog, GTPase"
29673,ENSMUSG00000046808,Atp10d,"ATPase, class V, type 10D"
29674,ENSMUSG00000029219,Slc10a4,"solute carrier family 10 (sodium/bile acid cotransporter family), member 4"
29675,ENSMUSG00000029154,Cwh43,cell wall biogenesis 43 C-terminal homolog
29676,ENSMUSG00000067206,Lrrc66,leucine rich repeat containing 66
29677,ENSMUSG00000055923,Aasdh,aminoadipate-semialdehyde dehydrogenase
29678,ENSMUSG00000029246,Ppat,phosphoribosyl pyrophosphate amidotransferase
29679,ENSMUSG00000029250,Polr2b,polymerase (RNA) II (DNA directed) polypeptide B
29682,ENSMUSG00000035898,Uba6,ubiquitin-like modifier activating enzyme 6
29683,ENSMUSG00000061259,Tmprss11d,"transmembrane protease, serine 11d"
29684,ENSMUSG00000035851,Ythdc1,YTH domain containing 1
29685,ENSMUSG00000070704,Ugt2b36,"UDP glucuronosyltransferase 2 family, polypeptide B36"
29686,ENSMUSG00000044221,Grsf1,G-rich RNA sequence binding factor 1
29687,ENSMUSG00000035505,Cox18,cytochrome c oxidase assembly protein 18
29688,ENSMUSG00000034981,Parm1,prostate androgen-regulated mucin-like protein 1
29689,ENSMUSG00000029415,Sdad1,SDA1 domain containing 1
29690,ENSMUSG00000034724,Cnot6l,"CCR4-NOT transcription complex, subunit 6-like"
29691,ENSMUSG00000034687,Fras1,Fraser extracellular matrix complex subunit 1
29692,ENSMUSG00000055725,Paqr3,progestin and adipoQ receptor family member III
29693,ENSMUSG00000050640,Tmem150c,transmembrane protein 150C
29694,ENSMUSG00000035310,Lin54,lin-54 homolog (C. elegans)
29695,ENSMUSG00000029322,Plac8,placenta-specific 8
29696,ENSMUSG00000029314,Gpat3,glycerol-3-phosphate acyltransferase 3
29697,ENSMUSG00000057315,Arhgap24,Rho GTPase activating protein 24
29698,ENSMUSG00000046079,Lrrc8d,leucine rich repeat containing 8D
29699,ENSMUSG00000111375,A830010M20Rik,RIKEN cDNA A830010M20 gene
29700,ENSMUSG00000033773,Rpap2,RNA polymerase II associated protein 2
29701,ENSMUSG00000062234,Gak,cyclin G associated kinase
29702,ENSMUSG00000046959,Slc26a1,"solute carrier family 26 (sulfate transporter), member 1"
29703,ENSMUSG00000091635,Vmn2r13,"vomeronasal 2, receptor 13"
29704,ENSMUSG00000091059,Vmn2r14,"vomeronasal 2, receptor 14"
29705,ENSMUSG00000014668,Chfr,checkpoint with forkhead and ring finger domains
29706,ENSMUSG00000029503,P2rx2,"purinergic receptor P2X, ligand-gated ion channel, 2"
29707,ENSMUSG00000048215,A630023P12Rik,RIKEN cDNA A630023P12 gene
29708,ENSMUSG00000033316,Galnt9,polypeptide N-acetylgalactosaminyltransferase 9
29709,ENSMUSG00000053334,Ficd,FIC domain containing
29710,ENSMUSG00000054675,Tmem119,transmembrane protein 119
29711,ENSMUSG00000042121,Ssh1,slingshot protein phosphatase 1
29712,ENSMUSG00000044339,Alkbh2,"alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase"
29713,ENSMUSG00000066952,Myo1h,myosin 1H
29714,ENSMUSG00000041827,Oasl1,2'-5' oligoadenylate synthetase-like 1
29715,ENSMUSG00000041638,Gcn1,GCN1 activator of EIF2AK4
29716,ENSMUSG00000066894,Vsig10,V-set and immunoglobulin domain containing 10
29717,ENSMUSG00000032898,Fbxo21,F-box protein 21
29718,ENSMUSG00000032867,Fbxw8,F-box and WD-40 domain protein 8
29719,ENSMUSG00000029597,Sds,serine dehydratase
29720,ENSMUSG00000066867,Oas1e,2'-5' oligoadenylate synthetase 1E
29721,ENSMUSG00000042726,Trafd1,TRAF type zinc finger domain containing 1
29722,ENSMUSG00000042719,Naa25,"N(alpha)-acetyltransferase 25, NatB auxiliary subunit"
29723,ENSMUSG00000044134,Pheta1,PH domain containing endocytic trafficking adaptor 1
29724,ENSMUSG00000038569,Rad9b,RAD9 checkpoint clamp component B
29725,ENSMUSG00000029431,B3gnt4,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4"
29727,ENSMUSG00000029420,Rimbp2,RIMS binding protein 2
29728,ENSMUSG00000029439,Sfswap,splicing factor SWAP
29729,ENSMUSG00000093445,Lrch4,leucine-rich repeats and calponin homology (CH) domain containing 4
29730,ENSMUSG00000029722,Agfg2,ArfGAP with FG repeats 2
29731,ENSMUSG00000029726,Mepce,methylphosphate capping enzyme
29732,ENSMUSG00000046245,Pilra,paired immunoglobin-like type 2 receptor alpha
29733,ENSMUSG00000036948,Map11,microtubule associated protein 11
29734,ENSMUSG00000056413,Adap1,ArfGAP with dual PH domains 1
29735,ENSMUSG00000036718,Micall2,MICAL-like 2
29736,ENSMUSG00000036687,Tmem184a,transmembrane protein 184a
29737,ENSMUSG00000029560,Snx8,sorting nexin 8
29738,ENSMUSG00000000148,Brat1,BRCA1-associated ATM activator 1
29739,ENSMUSG00000050022,Amz1,archaelysin family metallopeptidase 1
29740,ENSMUSG00000039623,Ap5z1,"adaptor-related protein complex 5, zeta 1 subunit"
29741,ENSMUSG00000029576,Radil,Ras association and DIL domains
29742,ENSMUSG00000039477,Tnrc18,trinucleotide repeat containing 18
29743,ENSMUSG00000066640,Fbxl18,F-box and leucine-rich repeat protein 18
29744,ENSMUSG00000029587,Zfp12,zinc finger protein 12
29745,ENSMUSG00000039244,E130309D02Rik,RIKEN cDNA E130309D02 gene
29747,ENSMUSG00000039206,Daglb,"diacylglycerol lipase, beta"
29748,ENSMUSG00000029610,Aimp2,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
29749,ENSMUSG00000029617,Ccz1,CCZ1 vacuolar protein trafficking and biogenesis associated
29750,ENSMUSG00000038970,Lmtk2,lemur tyrosine kinase 2
29751,ENSMUSG00000061707,Gm4871,predicted gene 4871
29752,ENSMUSG00000029623,Pdap1,PDGFA associated protein 1
29753,ENSMUSG00000038722,Bud31,BUD31 homolog
29754,ENSMUSG00000075543,Urad,ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5) decarboxylase
29755,ENSMUSG00000041298,Katnal1,katanin p60 subunit A-like 1
29756,ENSMUSG00000041264,Uspl1,ubiquitin specific peptidase like 1
29757,ENSMUSG00000047867,Gimap6,"GTPase, IMAP family member 6"
29758,ENSMUSG00000043931,Gimap7,"GTPase, IMAP family member 7"
29759,ENSMUSG00000047115,Fam221a,"family with sequence similarity 221, member A"
29760,ENSMUSG00000063568,Jazf1,JAZF zinc finger 1
29761,ENSMUSG00000107935,Gm4872,predicted gene 4872
29762,ENSMUSG00000053007,Creb5,cAMP responsive element binding protein 5
29763,ENSMUSG00000038074,Fkbp14,FK506 binding protein 14
29764,ENSMUSG00000005225,Plekha8,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8"
29765,ENSMUSG00000037973,Itprid1,ITPR interacting domain containing 1
29766,ENSMUSG00000037788,Vopp1,"vesicular, overexpressed in cancer, prosurvival protein 1"
29767,ENSMUSG00000039578,Ccser1,coiled-coil serine rich 1
29770,ENSMUSG00000055874,Foxi3,forkhead box I3
29771,ENSMUSG00000054474,Thnsl2,threonine synthase-like 2 (bacterial)
29772,ENSMUSG00000055912,Tmem150a,transmembrane protein 150A
29773,ENSMUSG00000053907,Mat2a,"methionine adenosyltransferase II, alpha"
29774,ENSMUSG00000056698,Elmod3,ELMO/CED-12 domain containing 3
29776,ENSMUSG00000035104,Eva1a,eva-1 homolog A (C. elegans)
29777,ENSMUSG00000068323,Slc4a5,"solute carrier family 4, sodium bicarbonate cotransporter, member 5"
29778,ENSMUSG00000043131,Mob1a,MOB kinase activator 1A
29779,ENSMUSG00000045896,Paip2b,poly(A) binding protein interacting protein 2B
29780,ENSMUSG00000063415,Cyp26b1,"cytochrome P450, family 26, subfamily b, polypeptide 1"
29781,ENSMUSG00000033706,Smyd5,SET and MYND domain containing 5
29782,ENSMUSG00000046679,C87436,expressed sequence C87436
29783,ENSMUSG00000030047,Arhgap25,Rho GTPase activating protein 25
29784,ENSMUSG00000030060,Hmces,"5-hydroxymethylcytosine (hmC) binding, ES cell specific"
29785,ENSMUSG00000055403,4933427D06Rik,RIKEN cDNA 4933427D06 gene
29786,ENSMUSG00000000811,Txnrd3,thioredoxin reductase 3
29787,ENSMUSG00000034312,Iqsec1,IQ motif and Sec7 domain 1
29788,ENSMUSG00000034245,Hdac11,histone deacetylase 11
29789,ENSMUSG00000034083,Ccdc174,coiled-coil domain containing 174
29790,ENSMUSG00000034037,Fgd5,"FYVE, RhoGEF and PH domain containing 5"
29791,ENSMUSG00000030059,Tmf1,TATA element modulatory factor 1
29792,ENSMUSG00000030064,Frmd4b,FERM domain containing 4B
29793,ENSMUSG00000030074,Gxylt2,glucoside xylosyltransferase 2
29794,ENSMUSG00000052144,Ppp4r2,"protein phosphatase 4, regulatory subunit 2"
29795,ENSMUSG00000030310,Slc6a1,"solute carrier family 6 (neurotransmitter transporter, GABA), member 1"
29796,ENSMUSG00000030315,Vgll4,vestigial like family member 4
29797,ENSMUSG00000059689,Zfp637,zinc finger protein 637
29799,ENSMUSG00000007827,Ankrd26,ankyrin repeat domain 26
29800,ENSMUSG00000045962,Wnk1,WNK lysine deficient protein kinase 1
29801,ENSMUSG00000030111,A2m,alpha-2-macroglobulin
29802,ENSMUSG00000091260,Vmn2r19,"vomeronasal 2, receptor 19"
29803,ENSMUSG00000072778,Vmn2r27,"vomeronasal 2, receptor27"
29804,ENSMUSG00000008153,Clstn3,calsyntenin 3
29805,ENSMUSG00000038527,C1rl,"complement component 1, r subcomponent-like"
29806,ENSMUSG00000107153,Gm38404,"predicted gene, 38404"
29807,ENSMUSG00000047228,A2ml1,alpha-2-macroglobulin like 1
29808,ENSMUSG00000090164,BC035044,cDNA sequence BC035044
29809,ENSMUSG00000030154,Klrb1f,killer cell lectin-like receptor subfamily B member 1F
29810,ENSMUSG00000030155,Clec2e,"C-type lectin domain family 2, member e"
29811,ENSMUSG00000053063,Clec12a,"C-type lectin domain family 12, member a"
29812,ENSMUSG00000046080,Clec9a,"C-type lectin domain family 9, member a"
29813,ENSMUSG00000071158,Klrh1,"killer cell lectin-like receptor subfamily H, member 1"
29814,ENSMUSG00000055594,5530400C23Rik,RIKEN cDNA 5530400C23 gene
29815,ENSMUSG00000032652,Crebl2,cAMP responsive element binding protein-like 2
29816,ENSMUSG00000046733,Gprc5a,"G protein-coupled receptor, family C, group 5, member A"
29817,ENSMUSG00000060032,H2aj,H2J.A histone
29818,ENSMUSG00000030222,Rerg,"RAS-like, estrogen-regulated, growth-inhibitor"
29819,ENSMUSG00000030225,Dera,deoxyribose-phosphate aldolase (putative)
29820,ENSMUSG00000041671,Pyroxd1,pyridine nucleotide-disulphide oxidoreductase domain 1
29821,ENSMUSG00000030244,Gys2,glycogen synthase 2
29822,ENSMUSG00000001630,Stk38l,serine/threonine kinase 38 like
29823,ENSMUSG00000040112,Mrps35,mitochondrial ribosomal protein S35
29824,ENSMUSG00000040102,Klhl42,kelch-like 42
29825,ENSMUSG00000030309,Caprin2,caprin family member 2
29826,ENSMUSG00000068250,Amn1,antagonist of mitotic exit network 1
29827,ENSMUSG00000079679,Vwde,von Willebrand factor D and EGF domains
29828,ENSMUSG00000054556,Gm4876,predicted gene 4876
29829,ENSMUSG00000029769,Ccdc136,coiled-coil domain containing 136
29830,ENSMUSG00000001763,Tspan33,tetraspanin 33
29831,ENSMUSG00000039130,Zc3hc1,"zinc finger, C3HC type 1"
29832,ENSMUSG00000071553,Cpa2,"carboxypeptidase A2, pancreatic"
29833,ENSMUSG00000044471,Lncpint,"long non-protein coding RNA, Trp53 induced transcript"
29834,ENSMUSG00000068587,Mgam,maltase-glucoamylase
29835,ENSMUSG00000051936,Prss58,"protease, serine 58"
29837,ENSMUSG00000029851,Tcaf2,TRPM8 channel-associated factor 2
29838,ENSMUSG00000052763,Zfp212,Zinc finger protein 212
29839,ENSMUSG00000072653,Zfp783,zinc finger protein 783
29840,ENSMUSG00000054594,Oscar,osteoclast associated receptor
29841,ENSMUSG00000035632,Cnot3,"CCR4-NOT transcription complex, subunit 3"
29842,ENSMUSG00000035545,Leng8,leukocyte receptor cluster (LRC) member 8
29843,ENSMUSG00000070873,Lilra5,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5"
29844,ENSMUSG00000019254,Ppp1r12c,"protein phosphatase 1, regulatory subunit 12C"
29845,ENSMUSG00000059851,Kmt5c,lysine methyltransferase 5C
29846,ENSMUSG00000053550,Shisa7,shisa family member 7
29847,ENSMUSG00000074406,Zfp628,zinc finger protein 628
29848,ENSMUSG00000035228,Ccdc106,coiled-coil domain containing 106
29849,ENSMUSG00000035177,Nlrp2,"NLR family, pyrin domain containing 2"
29850,ENSMUSG00000034660,Galp,galanin-like peptide
29851,ENSMUSG00000062116,Zfp954,zinc finger protein 954
29852,ENSMUSG00000034538,Zfp418,zinc finger protein 418
29853,ENSMUSG00000066838,Zfp772,zinc finger protein 772
29855,ENSMUSG00000070822,Zscan18,zinc finger and SCAN domain containing 18
29856,ENSMUSG00000054715,Zscan22,zinc finger and SCAN domain containing 22
29857,ENSMUSG00000049600,Zbtb45,zinc finger and BTB domain containing 45
29859,ENSMUSG00000033847,Pla2g4c,"phospholipase A2, group IVC (cytosolic, calcium-independent)"
29860,ENSMUSG00000058230,Arhgap35,Rho GTPase activating protein 35
29861,ENSMUSG00000008036,Ap2s1,"adaptor-related protein complex 2, sigma 1 subunit"
29862,ENSMUSG00000108558,Psg-ps1,"pregnancy specific glycoprotein, pseudogene 1"
29863,ENSMUSG00000066756,Igfl3,IGF-like family member 3
29865,ENSMUSG00000074358,Ccdc61,coiled-coil domain containing 61
29866,ENSMUSG00000048481,Mypop,"Myb-related transcription factor, partner of profilin"
29867,ENSMUSG00000030402,Ppm1n,"protein phosphatase, Mg2+/Mn2+ dependent, 1N (putative)"
29868,ENSMUSG00000040714,Klc3,kinesin light chain 3
29869,ENSMUSG00000030397,Mark4,MAP/microtubule affinity regulating kinase 4
29870,ENSMUSG00000057667,Bloc1s3,"biogenesis of lysosomal organelles complex-1, subunit 3"
29871,ENSMUSG00000051403,Ppp1r37,"protein phosphatase 1, regulatory subunit 37"
29872,ENSMUSG00000062598,Vmn1r178,vomeronasal 1 receptor 178
29873,ENSMUSG00000092473,Vmn1r180,vomeronasal 1 receptor 180
29874,ENSMUSG00000068962,Zfp114,zinc finger protein 114
29875,ENSMUSG00000064264,Zfp428,zinc finger protein 428
29876,ENSMUSG00000074277,Phldb3,"pleckstrin homology like domain, family B, member 3"
29877,ENSMUSG00000045587,Lypd10,Ly6/PLAUR domain containing 10
29878,ENSMUSG00000062732,Lypd4,Ly6/Plaur domain containing 4
29879,ENSMUSG00000108367,Erfl,ETS repressor factor like
29880,ENSMUSG00000040907,Atp1a3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide"
29881,ENSMUSG00000045252,Zfp574,zinc finger protein 574
29882,ENSMUSG00000060188,Cxcl17,chemokine (C-X-C motif) ligand 17
29883,ENSMUSG00000059479,B3gnt8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8"
29884,ENSMUSG00000063439,B9d2,B9 protein domain 2
29885,ENSMUSG00000040725,Hnrnpul1,heterogeneous nuclear ribonucleoprotein U-like 1
29887,ENSMUSG00000054102,Nlrp9a,"NLR family, pyrin domain containing 9A"
29888,ENSMUSG00000091867,Cyp2a22,"cytochrome P450, family 2, subfamily a, polypeptide 22"
29889,ENSMUSG00000003752,Itpkc,"inositol 1,4,5-trisphosphate 3-kinase C"
29890,ENSMUSG00000040466,Blvrb,biliverdin reductase B (flavin reductase (NADPH))
29891,ENSMUSG00000040424,Hipk4,homeodomain interacting protein kinase 4
29892,ENSMUSG00000109336,Samd4b,sterile alpha motif domain containing 4B
29893,ENSMUSG00000047586,Nccrp1,non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)
29894,ENSMUSG00000037463,Fbxo27,F-box protein 27
29896,ENSMUSG00000030589,Rasgrp4,RAS guanyl releasing protein 4
29897,ENSMUSG00000011427,Zfp790,zinc finger protein 790
29898,ENSMUSG00000050855,Zfp940,zinc finger protein 940
29899,ENSMUSG00000058402,Zfp420,zinc finger protein 420
29900,ENSMUSG00000074220,Zfp382,zinc finger protein 382
29901,ENSMUSG00000037020,Wdr62,WD repeat domain 62
29902,ENSMUSG00000042831,Alkbh6,alkB homolog 6
29903,ENSMUSG00000019737,Syne4,"spectrin repeat containing, nuclear envelope family member 4"
29904,ENSMUSG00000036957,Lrfn3,leucine rich repeat and fibronectin type III domain containing 3
29905,ENSMUSG00000036882,Arhgap33,Rho GTPase activating protein 33
29906,ENSMUSG00000078765,U2af1l4,U2 small nuclear RNA auxiliary factor 1-like 4
29908,ENSMUSG00000051314,Ffar2,free fatty acid receptor 2
29909,ENSMUSG00000019429,Ffar3,free fatty acid receptor 3
29910,ENSMUSG00000044453,Ffar1,free fatty acid receptor 1
29911,ENSMUSG00000046438,Scgb2b24,"secretoglobin, family 2B, member 24"
29912,ENSMUSG00000066584,Scgb2b27,"secretoglobin, family 2B, member 27"
29913,ENSMUSG00000066571,4931406P16Rik,RIKEN cDNA 4931406P16 gene
29914,ENSMUSG00000030499,Kctd15,potassium channel tetramerisation domain containing 15
29915,ENSMUSG00000043671,Dpy19l3,dpy-19-like 3 (C. elegans)
29916,ENSMUSG00000030424,Zfp939,zinc finger protein 939
29917,ENSMUSG00000048312,Gm4884,predicted gene 4884
29918,ENSMUSG00000056383,AI987944,expressed sequence AI987944
29919,ENSMUSG00000039013,Siglecf,sialic acid binding Ig-like lectin F
29920,ENSMUSG00000118560,Lim2,lens intrinsic membrane protein 2
29921,ENSMUSG00000038888,Ctu1,cytosolic thiouridylase subunit 1
29922,ENSMUSG00000038670,Mybpc2,"myosin binding protein C, fast-type"
29923,ENSMUSG00000038520,Tbc1d17,"TBC1 domain family, member 17"
29924,ENSMUSG00000038406,Scaf1,SR-related CTD-associated factor 1
29925,ENSMUSG00000046574,Prr12,proline rich 12
29926,ENSMUSG00000050650,Mrgpra1,"MAS-related GPR, member A1"
29927,ENSMUSG00000078698,Mrgpra3,"MAS-related GPR, member A3"
29928,ENSMUSG00000070550,Mrgprb4,"MAS-related GPR, member B4"
29929,ENSMUSG00000070547,Mrgprb1,"MAS-related GPR, member B1"
29930,ENSMUSG00000055489,Ano5,anoctamin 5
29931,ENSMUSG00000063297,Luzp2,leucine zipper protein 2
29932,ENSMUSG00000051504,Siglech,sialic acid binding Ig-like lectin H
29933,ENSMUSG00000033790,Tubgcp5,"tubulin, gamma complex associated protein 5"
29934,ENSMUSG00000047037,Nipa1,non imprinted in Prader-Willi/Angelman syndrome 1 homolog (human)
29935,ENSMUSG00000030522,Mtmr10,myotubularin related protein 10
29936,ENSMUSG00000015133,Lrrk1,leucine-rich repeat kinase 1
29937,ENSMUSG00000058145,Adamts17,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17"
29938,ENSMUSG00000030554,Synm,"synemin, intermediate filament protein"
29940,ENSMUSG00000030534,Vps33b,vacuolar protein sorting 33B
29941,ENSMUSG00000038943,Prc1,protein regulator of cytokinesis 1
29942,ENSMUSG00000005621,Zfp592,zinc finger protein 592
29943,ENSMUSG00000038540,Tmc3,transmembrane channel-like gene family 3
29944,ENSMUSG00000094950,Vmn2r66,"vomeronasal 2, receptor 66"
29945,ENSMUSG00000091205,Vmn2r71,"vomeronasal 2, receptor 71"
29946,ENSMUSG00000039361,Picalm,phosphatidylinositol binding clathrin assembly protein
29947,ENSMUSG00000051451,Crebzf,CREB/ATF bZIP transcription factor
29948,ENSMUSG00000051727,Kctd14,potassium channel tetramerisation domain containing 14
29949,ENSMUSG00000035623,Rsf1,remodeling and spacing factor 1
29950,ENSMUSG00000035582,Gdpd4,glycerophosphodiester phosphodiesterase domain containing 4
29952,ENSMUSG00000035401,Emsy,"EMSY, BRCA2-interacting transcriptional repressor"
29953,ENSMUSG00000052396,Mogat2,monoacylglycerol O-acyltransferase 2
29954,ENSMUSG00000035314,Gdpd5,glycerophosphodiester phosphodiesterase domain containing 5
29956,ENSMUSG00000048779,P2ry6,"pyrimidinergic receptor P2Y, G-protein coupled, 6"
29957,ENSMUSG00000030990,Pgap2,post-GPI attachment to proteins 2
29958,ENSMUSG00000073972,Olfr553,olfactory receptor 553
29961,ENSMUSG00000030897,Cnga4,cyclic nucleotide gated channel alpha 4
29962,ENSMUSG00000036862,Dchs1,dachsous cadherin related 1
29963,ENSMUSG00000036647,Olfr6,olfactory receptor 6
29964,ENSMUSG00000047554,Tmem41b,transmembrane protein 41B
29965,ENSMUSG00000066232,Ipo7,importin 7
29966,ENSMUSG00000038296,Galnt18,polypeptide N-acetylgalactosaminyltransferase 18
29967,ENSMUSG00000038156,Spon1,"spondin 1, (f-spondin) extracellular matrix protein"
29968,ENSMUSG00000048782,Insc,INSC spindle orientation adaptor protein
29969,ENSMUSG00000045659,Plekha7,"pleckstrin homology domain containing, family A member 7"
29970,ENSMUSG00000030657,Xylt1,xylosyltransferase 1
29971,ENSMUSG00000030655,Smg1,"SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)"
29972,ENSMUSG00000030945,Acsm2,acyl-CoA synthetase medium-chain family member 2
29973,ENSMUSG00000047026,Acsm4,acyl-CoA synthetase medium-chain family member 4
29974,ENSMUSG00000030942,Thumpd1,THUMP domain containing 1
29975,ENSMUSG00000048787,Dcun1d3,"DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)"
29976,ENSMUSG00000030917,Tmem159,transmembrane protein 159
29977,ENSMUSG00000051900,Abca16,"ATP-binding cassette, sub-family A (ABC1), member 16"
29978,ENSMUSG00000046096,Mosmo,modulator of smoothened
29979,ENSMUSG00000030889,Vwa3a,von Willebrand factor A domain containing 3A
29980,ENSMUSG00000034951,Cog7,component of oligomeric golgi complex 7
29981,ENSMUSG00000044702,Palb2,partner and localizer of BRCA2
29982,ENSMUSG00000052707,Tnrc6a,trinucleotide repeat containing 6a
29983,ENSMUSG00000030769,Slc5a11,"solute carrier family 5 (sodium/glucose cotransporter), member 11"
29984,ENSMUSG00000032777,Gtf3c1,general transcription factor III C 1
29985,ENSMUSG00000032743,D430042O09Rik,RIKEN cDNA D430042O09 gene
29986,ENSMUSG00000073838,Tufm,"Tu translation elongation factor, mitochondrial"
29987,ENSMUSG00000032637,Atxn2l,ataxin 2-like
29988,ENSMUSG00000030689,Ino80e,INO80 complex subunit E
29989,ENSMUSG00000042606,Hirip3,HIRA interacting protein 3
29990,ENSMUSG00000030685,Kctd13,potassium channel tetramerisation domain containing 13
29991,ENSMUSG00000030683,Sez6l2,seizure related 6 homolog like 2
29992,ENSMUSG00000046378,Asphd1,aspartate beta-hydroxylase domain containing 1
29993,ENSMUSG00000045598,Zfp553,zinc finger protein 553
29994,ENSMUSG00000047371,Zfp768,zinc finger protein 768
